station_code,station_name,county_name
AJHARK01,Tallinn-Harku,Harju
AJHELT01,Heltermaa,Hiiu
AJJOGE01,Jõgeva,Jõgeva
AJJOHV01,Jõhvi,Ida-Viru
AJKIHN01,Kihnu,Pärnu
AJKUND01,Kunda,Lääne-Viru
AJKUUS01,Kuusiku,Rapla
AJNARV01,Narva,Ida-Viru
AJNIGU01,Lääne-Nigula,Lääne
AJPAKR01,Pakri,Harju
AJPARN01,Pärnu,Pärnu
AJRIST01,Ristna,Hiiu
AJROOM01,Roomassaare,Saare
AJRUHN01,Ruhnu,Saare
AJSORV01,Sõrve,Saare
AJTART01,Tartu-Tõravere,Tartu
AJTIIR01,Tiirikoja,Tartu
AJTOOM01,Tooma,Jõgeva
AJTURI01,Türi,Järva
AJV-MA01,Väike-Maarja,Lääne-Viru
AJVALG01,Valga,Valga
AJVILJ01,Viljandi,Viljandi
AJVILS01,Vilsandi,Saare
AJVIRT01,Virtsu,Pärnu
AJVORU01,Võru,Võru
